Stock,Year,Length,CatchNo
mackerel_scad_Atauro,2022,50,437
mackerel_scad_Atauro,2022,68.9655172413793,11672.524904342563
mackerel_scad_Atauro,2022,87.93103448275862,7814.883477724821
mackerel_scad_Atauro,2022,106.89655172413794,6546.00396977962
mackerel_scad_Atauro,2022,125.86206896551724,24715.148245352666
mackerel_scad_Atauro,2022,144.82758620689654,38237.198752828954
mackerel_scad_Atauro,2022,163.79310344827587,39531.854499455876
mackerel_scad_Atauro,2022,182.75862068965517,30513.31977443588
mackerel_scad_Atauro,2022,201.72413793103448,18297.05469646627
mackerel_scad_Atauro,2022,220.68965517241378,8520.189676143058
mackerel_scad_Atauro,2022,239.65517241379308,2145.9443039888138
mackerel_scad_Atauro,2022,258.62068965517244,778.3467469526336
mackerel_scad_Atauro,2022,277.58620689655174,995.8248224823453
mackerel_scad_Atauro,2022,296.55172413793105,139.6861628127429
mackerel_scad_Atauro,2022,315.51724137931035,302.87946837153004
mackerel_scad_Atauro,2022,334.48275862068965,194.0539783682251
mackerel_scad_Atauro,2022,353.44827586206895,29.91399234779836
mackerel_scad_Atauro,2022,372.41379310344826,81.52944205882908
mackerel_scad_Atauro,2022,391.37931034482756,27.59689459413957
mackerel_scad_Atauro,2022,410.34482758620686,18.30878024145785
mackerel_scad_Atauro,2022,429.31034482758616,18.213319285314668
mackerel_scad_Atauro,2022,448.2758620689655,1.284909729244958
mackerel_scad_Atauro,2022,467.2413793103448,5.970911871163893
mackerel_scad_Atauro,2022,486.2068965517241,3.335610930360838
mackerel_scad_Atauro,2022,505.17241379310343,0.83074699850282685
mackerel_scad_Atauro,2022,524.1379310344828,1.6291477226100106
mackerel_scad_Atauro,2022,543.1034482758621,0.4865090051377738
mackerel_scad_Atauro,2022,562.0689655172414,0.5872295180933266
mackerel_scad_Atauro,2022,581.0344827586207,0.7550093804057049
mackerel_scad_Atauro,2022,600,0
mackerel_scad_North,2022,50,288
mackerel_scad_North,2022,68.9655172413793,15013.565241212305
mackerel_scad_North,2022,87.93103448275862,6030.4856165780975
mackerel_scad_North,2022,106.89655172413794,49575.15236812162
mackerel_scad_North,2022,125.86206896551724,97633.75425789873
mackerel_scad_North,2022,144.82758620689654,126297.23308434854
mackerel_scad_North,2022,163.79310344827587,114600.4568337742
mackerel_scad_North,2022,182.75862068965517,73520.6229688305
mackerel_scad_North,2022,201.72413793103448,31531.743901260146
mackerel_scad_North,2022,220.68965517241378,9115.465978515182
mackerel_scad_North,2022,239.65517241379308,1816.6896578105807
mackerel_scad_North,2022,258.62068965517244,577.8339952546069
mackerel_scad_North,2022,277.58620689655174,295.29804391013636
mackerel_scad_North,2022,296.55172413793105,317.5567766590583
mackerel_scad_North,2022,315.51724137931035,278.3344466423345
mackerel_scad_North,2022,334.48275862068965,144.33700281689846
mackerel_scad_North,2022,353.44827586206895,23.913951084898837
mackerel_scad_North,2022,372.41379310344826,16.088377918924444
mackerel_scad_North,2022,391.37931034482756,7.514645073010946
mackerel_scad_North,2022,410.34482758620686,5.121499309631914
mackerel_scad_North,2022,429.31034482758616,5.094796098684137
mackerel_scad_North,2022,448.2758620689655,0.3594266906086012
mackerel_scad_North,2022,467.2413793103448,1.6702380291175474
mackerel_scad_North,2022,486.2068965517241,0.9330675693163158
mackerel_scad_North,2022,505.17241379310343,0.23238414155394485
mackerel_scad_North,2022,524.1379310344828,0.45572008766277033
mackerel_scad_North,2022,543.1034482758621,0.13609074449977773
mackerel_scad_North,2022,562.0689655172414,0.1642652067394621
mackerel_scad_North,2022,581.0344827586207,0.21119812295073684
mackerel_scad_North,2022,600,0
mackerel_scad_South,2022,50,0
mackerel_scad_South,2022,68.9655172413793,1442.2381325593428
mackerel_scad_South,2022,87.93103448275862,2038.47283477036
mackerel_scad_South,2022,106.89655172413794,1998.1769304250615
mackerel_scad_South,2022,125.86206896551724,1558.3280211009537
mackerel_scad_South,2022,144.82758620689654,995.23404147054
mackerel_scad_South,2022,163.79310344827587,565.6523996431818
mackerel_scad_South,2022,182.75862068965517,314.21244036497103
mackerel_scad_South,2022,201.72413793103448,169.32507381782736
mackerel_scad_South,2022,220.68965517241378,73.50717316566761
mackerel_scad_South,2022,239.65517241379308,15.954643141114389
mackerel_scad_South,2022,258.62068965517244,5.5366906657863355
mackerel_scad_South,2022,277.58620689655174,1.0169835573507109
mackerel_scad_South,2022,296.55172413793105,10.629244138194286
mackerel_scad_South,2022,315.51724137931035,12.60059541520056
mackerel_scad_South,2022,334.48275862068965,5.909938296659895
mackerel_scad_South,2022,353.44827586206895,0.8557418474721946
mackerel_scad_South,2022,372.41379310344826,2.332291676738846
mackerel_scad_South,2022,391.37931034482756,0.7894572309143005
mackerel_scad_South,2022,410.34482758620686,0.523754544248945
mackerel_scad_South,2022,429.31034482758616,0.521023717349558
mackerel_scad_South,2022,448.2758620689655,0.03675708052456001
mackerel_scad_South,2022,467.2413793103448,0.17080833264636122
mackerel_scad_South,2022,486.2068965517241,0.09542095975716569
mackerel_scad_South,2022,505.17241379310343,0.023764964669890046
mackerel_scad_South,2022,524.1379310344828,0.046604607828416966
mackerel_scad_South,2022,543.1034482758621,0.013917437366032483
mackerel_scad_South,2022,562.0689655172414,0.0167987230477571
mackerel_scad_South,2022,581.0344827586207,0.021598358204259104
mackerel_scad_South,2022,600,0
